idx,site_id,site_name_proposed,source,name_basin,lon,lat,total_score,bulkley_falls_downstream,floodplain_ind,owner_type,name_wet_house,house,clan,clan_english,chiefs,model_spawning_ch,model_spawning_co,model_spawning_st,model_spawning_ch_score,model_spawning_co_score,model_spawning_st_score,model_rearing_ch,model_rearing_co,model_rearing_st,model_rearing_ch_score,model_rearing_co_score,model_rearing_st_score,gate_diagnostic_certainty,gate_active_degradation_clear,gate_access_willingness,project_type,watershed_function_gain,root_cause_alignment,scale_of_benefit_ha,fish_habitat_connectivity,probability_of_success,cultural_significance,collective_wellbeing,passive_first_bonus,delivery_bucket,framework_score,notes
149,NA,NA,ncfdc_1998_riparian,Buck Creek Upstream Falls,-126.27023645268739,54.144118082874165,30,0,1,Not Matched,Nelhdzi Tezdli Bin,TSA K'EX YEX,TSAYU,BEAVER,NAMOX,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,NA,NA,ncfdc_1998_riparian,Buck Creek Upstream Falls,-126.40924995482145,54.195902333871835,30,0,1,Not Matched,Nelhdzi Tezdli Bin,TSA K'EX YEX,TSAYU,BEAVER,NAMOX,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,NA,NA,ncfdc_1998_riparian,Buck Creek Upstream Falls,-126.41142181370223,54.1974594545643,27,0,0,Not Matched,Nelhdzi Tezdli Bin,TSA K'EX YEX,TSAYU,BEAVER,NAMOX,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.62170965609897,54.360388397291175,20,0,1,Private,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.62098764434047,54.36089557416808,20,0,1,Private,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.6200636498488,54.361434722117984,20,0,1,Private,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,NA,NA,ncfdc_1998_riparian,Buck Creek Downstream Falls,-126.61926181157435,54.36172455756488,17,0,0,Private,Nelgi Cek,KWEN BEA YEX,LAKSILYU,SMALL FROG,WAH TAH KWETS,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,NA,NA,ncfdc_1998_riparian,NA,-126.81256373689273,54.449839405730664,15,0,1,Private,C'idi To Stan,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,NA,NA,ncfdc_1998_riparian,NA,-126.81315561542884,54.44828597419767,25,0,1,Crown Provincial,C'idi To Stan,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,NA,NA,ncfdc_1998_riparian,NA,-126.81390154747108,54.44673532818988,15,0,1,Private,C'idi To Stan,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,NA,NA,ncfdc_1998_riparian,NA,-126.81530826701362,54.44696753604336,25,0,1,Crown Provincial,C'idi To Stan,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,NA,NA,ncfdc_1998_riparian,NA,-126.81259081323311,54.45019947052662,15,0,1,Private,C'idi To Stan,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,NA,NA,ncfdc_1998_riparian,NA,-127.67251458130869,55.248040672130685,27,0,1,Crown Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,NA,NA,ncfdc_1998_riparian,NA,-127.66322548909955,55.25295397519467,27,0,1,Local Government,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,NA,NA,ncfdc_1998_riparian,NA,-127.6505327258676,55.24772770236787,27,0,1,Crown Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,NA,NA,ncfdc_1998_riparian,NA,-127.63429013070343,55.25025209543427,27,0,1,Crown Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
