yr,ano,par,period,region
1961,-0.2354,tmax,annual,Neexdzii Kwah
1962,-0.6213,tmax,annual,Neexdzii Kwah
1963,0.1574,tmax,annual,Neexdzii Kwah
1964,-2.0374,tmax,annual,Neexdzii Kwah
1965,-0.5725,tmax,annual,Neexdzii Kwah
1966,-1.568,tmax,annual,Neexdzii Kwah
1967,-0.1974,tmax,annual,Neexdzii Kwah
1968,-1.1903,tmax,annual,Neexdzii Kwah
1969,-0.7278,tmax,annual,Neexdzii Kwah
1970,-1.0441,tmax,annual,Neexdzii Kwah
1971,-1.0682,tmax,annual,Neexdzii Kwah
1972,-1.6918,tmax,annual,Neexdzii Kwah
1973,-1.8505,tmax,annual,Neexdzii Kwah
1974,-0.4562,tmax,annual,Neexdzii Kwah
1975,-1.8211,tmax,annual,Neexdzii Kwah
1976,-0.9521,tmax,annual,Neexdzii Kwah
1977,-0.8305,tmax,annual,Neexdzii Kwah
1978,-0.4826,tmax,annual,Neexdzii Kwah
1979,-0.5169,tmax,annual,Neexdzii Kwah
1980,-0.3564,tmax,annual,Neexdzii Kwah
1981,0.8429,tmax,annual,Neexdzii Kwah
1982,-1.2629,tmax,annual,Neexdzii Kwah
1983,-0.4255,tmax,annual,Neexdzii Kwah
1984,-0.9578,tmax,annual,Neexdzii Kwah
1985,-1.0115,tmax,annual,Neexdzii Kwah
1986,0.2087,tmax,annual,Neexdzii Kwah
1987,1.368,tmax,annual,Neexdzii Kwah
1988,0.1285,tmax,annual,Neexdzii Kwah
1989,0.8476,tmax,annual,Neexdzii Kwah
1990,0.3399,tmax,annual,Neexdzii Kwah
1991,0.6068,tmax,annual,Neexdzii Kwah
1992,0.5063,tmax,annual,Neexdzii Kwah
1993,0.6823,tmax,annual,Neexdzii Kwah
1994,0.1071,tmax,annual,Neexdzii Kwah
1995,-0.1121,tmax,annual,Neexdzii Kwah
1996,-2.6569,tmax,annual,Neexdzii Kwah
1997,0.3931,tmax,annual,Neexdzii Kwah
1998,0.4371,tmax,annual,Neexdzii Kwah
1999,-0.1883,tmax,annual,Neexdzii Kwah
