year,item,link_view,link_download
2025,buck_buc172,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc172/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc172/odm_dem/dtm.tif</a>"
2025,buck_buc172,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc172/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc172/odm_dem/dsm.tif</a>"
2025,buck_bridge1_buc87b,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87b/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87b/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87b/odm_orthophoto/odm_orthophoto.tif</a>"
2025,buck_bridge1_buc87b,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87b/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87b/odm_dem/dtm.tif</a>"
2025,buck_bridge1_buc87b,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87b/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87b/odm_dem/dsm.tif</a>"
2025,maxan_foxy_confluence,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_foxy_confluence/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_foxy_confluence/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_foxy_confluence/odm_orthophoto/odm_orthophoto.tif</a>"
2025,maxan_foxy_confluence,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_foxy_confluence/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_foxy_confluence/odm_dem/dtm.tif</a>"
2025,maxan_foxy_confluence,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_foxy_confluence/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_foxy_confluence/odm_dem/dsm.tif</a>"
2025,maxan_reserve5,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_reserve5/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_reserve5/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_reserve5/odm_orthophoto/odm_orthophoto.tif</a>"
2025,maxan_reserve5,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_reserve5/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_reserve5/odm_dem/dtm.tif</a>"
2025,maxan_reserve5,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_reserve5/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_reserve5/odm_dem/dsm.tif</a>"
2025,buck_bob_buc78,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bob_buc78/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bob_buc78/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bob_buc78/odm_orthophoto/odm_orthophoto.tif</a>"
2025,buck_bob_buc78,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bob_buc78/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bob_buc78/odm_dem/dtm.tif</a>"
2025,buck_bob_buc78,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bob_buc78/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bob_buc78/odm_dem/dsm.tif</a>"
2025,buck_bulkley_buc7,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bulkley_buc7/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bulkley_buc7/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bulkley_buc7/odm_orthophoto/odm_orthophoto.tif</a>"
2025,buck_bulkley_buc7,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bulkley_buc7/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bulkley_buc7/odm_dem/dtm.tif</a>"
2025,buck_bulkley_buc7,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bulkley_buc7/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bulkley_buc7/odm_dem/dsm.tif</a>"
2025,buck_bridge1_buc87,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87/odm_orthophoto/odm_orthophoto.tif</a>"
2025,buck_bridge1_buc87,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87/odm_dem/dtm.tif</a>"
2025,buck_bridge1_buc87,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_bridge1_buc87/odm_dem/dsm.tif</a>"
2025,buck_buc64,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc64/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc64/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc64/odm_orthophoto/odm_orthophoto.tif</a>"
2025,buck_buc64,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc64/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc64/odm_dem/dtm.tif</a>"
2025,buck_buc64,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc64/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/buck_buc64/odm_dem/dsm.tif</a>"
2025,bulkley_bul33,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul33/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul33/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul33/odm_orthophoto/odm_orthophoto.tif</a>"
2025,bulkley_bul33,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul33/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul33/odm_dem/dtm.tif</a>"
2025,bulkley_bul33,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul33/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul33/odm_dem/dsm.tif</a>"
